Dependency Taxonomy,Configuration Parameter A,Configuration Parameter B,Class,Function
Control Dependency,mapreduce.job.ubertask.enable,mapreduce.job.ubertask.maxreduces,org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl,<org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl: void makeUberDecision(long)>
Control Dependency,mapreduce.map.memory.mb,mapreduce.task.attempt.id,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskAttemptImpl,"<org.apache.hadoop.mapreduce.v2.app.job.impl.TaskAttemptImpl: int getMemoryRequired(org.apache.hadoop.conf.Configuration,org.apache.hadoop.mapreduce.v2.api.records.TaskType)>"
Control Dependency,mapreduce.map.output.compress,mapreduce.map.output.compress.codec,org.apache.hadoop.mapred.JobConf,*
Control Dependency,mapreduce.client.submit.file.replication,mapreduce.job.log4j-properties-file,org.apache.hadoop.mapreduce.JobResourceUploader,"<org.apache.hadoop.mapreduce.JobResourceUploader: void addLog4jToDistributedCache(org.apache.hadoop.mapreduce.Job,org.apache.hadoop.fs.Path)>"
Control Dependency,mapreduce.jobhistory.cleaner.enable,mapreduce.jobhistory.cleaner.interval-ms,org.apache.hadoop.mapreduce.v2.hs.JobHistory,<org.apache.hadoop.mapreduce.v2.hs.JobHistory: void scheduleHistoryCleaner()>
Control Dependency,mapreduce.reduce.cpu.vcores,mapreduce.task.attempt.id,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskAttemptImpl,"<org.apache.hadoop.mapreduce.v2.app.job.impl.TaskAttemptImpl: int getCpuRequired(org.apache.hadoop.conf.Configuration,org.apache.hadoop.mapreduce.v2.api.records.TaskType)>"
Control Dependency,yarn.app.mapreduce.am.profile,yarn.app.mapreduce.am.profile.params,org.apache.hadoop.mapred.YARNRunner,<org.apache.hadoop.mapred.YARNRunner: java.util.List setupAMCommand(org.apache.hadoop.conf.Configuration)>
Control Dependency,mapreduce.job.ubertask.enable,mapreduce.job.ubertask.maxmaps,org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl,<org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl: void makeUberDecision(long)>
Control Dependency,dfs.encrypt.data.transfer.cipher.key.bitlength,dfs.encrypt.data.transfer.cipher.suites,org.apache.hadoop.hdfs.protocol.datatransfer.sasl.DataTransferSaslUtil,"<org.apache.hadoop.hdfs.protocol.datatransfer.sasl.DataTransferSaslUtil: org.apache.hadoop.crypto.CipherOption negotiateCipherOption(org.apache.hadoop.conf.Configuration,java.util.List)>"
Control Dependency,yarn.resourcemanager.fs.state-store.uri,yarn.resourcemanager.store.class,org.apache.hadoop.yarn.server.resourcemanager.ResourceManager,*
Control Dependency,hadoop.security.group.mapping.ldap.ssl.truststore.password,hadoop.security.group.mapping.ldap.ssl.truststore.password.file,org.apache.hadoop.security.LdapGroupsMapping,<org.apache.hadoop.security.LdapGroupsMapping: void loadSslConf(org.apache.hadoop.conf.Configuration)>
Control Dependency,zk-dt-secret-manager.kerberos.principal,zk-dt-secret-manager.zkAuthType,org.apache.hadoop.security.token.delegation.ZKDelegationTokenSecretManager,<org.apache.hadoop.security.token.delegation.ZKDelegationTokenSecretManager: java.lang.String setJaasConfiguration(org.apache.hadoop.conf.Configuration)>
Control Dependency,io.compression.codec.bzip2.library,io.native.lib.available,org.apache.hadoop.io.compress.bzip2.Bzip2Factory,<org.apache.hadoop.io.compress.bzip2.Bzip2Factory: boolean isNativeBzip2Loaded(org.apache.hadoop.conf.Configuration)>
Control Dependency,dfs.client.block.write.replace-datanode-on-failure.enable,dfs.client.block.write.replace-datanode-on-failure.policy,org.apache.hadoop.hdfs.protocol.datatransfer.ReplaceDatanodeOnFailure,<org.apache.hadoop.hdfs.protocol.datatransfer.ReplaceDatanodeOnFailure: org.apache.hadoop.hdfs.protocol.datatransfer.ReplaceDatanodeOnFailure$Policy getPolicy(org.apache.hadoop.conf.Configuration)>
Control Dependency,fs.azure.authorization,fs.azure.enable.spnego.token.cache,org.apache.hadoop.fs.azure.NativeAzureFileSystem,"<org.apache.hadoop.fs.azure.NativeAzureFileSystem: void initialize(java.net.URI,org.apache.hadoop.conf.Configuration)>"
Control Dependency,dfs.client.read.shortcircuit,dfs.client.read.shortcircuit.streams.cache.size,org.apache.hadoop.hdfs.client.impl.BlockReaderFactory,*
Control Dependency,dfs.namenode.lifeline.handler.count,dfs.namenode.lifeline.rpc-address,org.apache.hadoop.hdfs.server.namenode.NameNodeRpcServer,*
Control Dependency,hadoop.rpc.protection,hadoop.security.saslproperties.resolver.class,org.apache.hadoop.conf.Configuration,"<org.apache.hadoop.conf.Configuration: void putIntoUpdatingResource(java.lang.String,java.lang.String[])>"
Control Dependency,yarn.nodemanager.resource.cpu-vcores,yarn.nodemanager.resource.pcores-vcores-multiplier,org.apache.hadoop.yarn.server.nodemanager.util.NodeManagerHardwareUtils,"<org.apache.hadoop.yarn.server.nodemanager.util.NodeManagerHardwareUtils: int getVCoresInternal(org.apache.hadoop.yarn.util.ResourceCalculatorPlugin,org.apache.hadoop.conf.Configuration)>"
Control Dependency,yarn.nodemanager.resource.detect-hardware-capabilities,yarn.nodemanager.resource.pcores-vcores-multiplier,org.apache.hadoop.yarn.server.nodemanager.util.NodeManagerHardwareUtils,"<org.apache.hadoop.yarn.server.nodemanager.util.NodeManagerHardwareUtils: int getVCoresInternal(org.apache.hadoop.yarn.util.ResourceCalculatorPlugin,org.apache.hadoop.conf.Configuration)>"
Control Dependency,dfs.client.read.shortcircuit,dfs.client.read.shortcircuit.streams.cache.expiry.ms,org.apache.hadoop.hdfs.client.impl.BlockReaderFactory,*
Control Dependency,yarn.nodemanager.linux-container-executor.nonsecure-mode.limit-users,yarn.nodemanager.linux-container-executor.nonsecure-mode.local-user,org.apache.hadoop.hdfs.DataStreamer,*
Control Dependency,yarn.nodemanager.resource.count-logical-processors-as-cores,yarn.nodemanager.resource.detect-hardware-capabilities,org.apache.hadoop.yarn.server.nodemanager.util.NodeManagerHardwareUtils,"<org.apache.hadoop.yarn.server.nodemanager.util.NodeManagerHardwareUtils: int getVCoresInternal(org.apache.hadoop.yarn.util.ResourceCalculatorPlugin,org.apache.hadoop.conf.Configuration)>"
Control Dependency,yarn.resourcemanager.ha.automatic-failover.embedded,yarn.resourcemanager.ha.enabled,org.apache.hadoop.yarn.conf.HAUtil,<org.apache.hadoop.yarn.conf.HAUtil: boolean isAutomaticFailoverEmbedded(org.apache.hadoop.conf.Configuration)>
Control Dependency,hadoop.security.group.mapping.ldap.ssl,hadoop.security.group.mapping.ldap.ssl.keystore,org.apache.hadoop.security.LdapGroupsMapping,<org.apache.hadoop.security.LdapGroupsMapping: void loadSslConf(org.apache.hadoop.conf.Configuration)>
Control Dependency,yarn.client.failover-max-attempts,yarn.resourcemanager.ha.enabled,org.apache.hadoop.yarn.client.RMProxy,"<org.apache.hadoop.yarn.client.RMProxy: org.apache.hadoop.io.retry.RetryPolicy createRetryPolicy(org.apache.hadoop.conf.Configuration,long,long,boolean)>"
Control Dependency,hadoop.security.group.mapping.ldap.ssl.keystore.password,hadoop.security.group.mapping.ldap.ssl.keystore.password.file,org.apache.hadoop.security.LdapGroupsMapping,<org.apache.hadoop.security.LdapGroupsMapping: void loadSslConf(org.apache.hadoop.conf.Configuration)>
Control Dependency,hadoop.security.group.mapping.ldap.ssl.truststore,hadoop.security.group.mapping.ldap.url,org.apache.hadoop.security.LdapGroupsMapping,<org.apache.hadoop.security.LdapGroupsMapping: void loadSslConf(org.apache.hadoop.conf.Configuration)>
Control Dependency,io.bytes.per.checksum,io.skip.checksum.errors,org.apache.hadoop.io.SequenceFile$Reader,<org.apache.hadoop.io.SequenceFile$Reader: void handleChecksumException(org.apache.hadoop.fs.ChecksumException)>
Control Dependency,yarn.resourcemanager.ha.automatic-failover.enabled,yarn.resourcemanager.ha.enabled,org.apache.hadoop.yarn.conf.HAUtil,<org.apache.hadoop.yarn.conf.HAUtil: boolean isAutomaticFailoverEmbedded(org.apache.hadoop.conf.Configuration)>
Control Dependency,hadoop.security.sasl.variablewhitelist.cache.secs,hadoop.security.sasl.variablewhitelist.enable,org.apache.hadoop.security.WhitelistBasedResolver,<org.apache.hadoop.security.WhitelistBasedResolver: void setConf(org.apache.hadoop.conf.Configuration)>
Control Dependency,dfs.webhdfs.rest-csrf.enabled,dfs.webhdfs.rest-csrf.methods-to-ignore,org.apache.hadoop.hdfs.web.WebHdfsFileSystem,<org.apache.hadoop.hdfs.web.WebHdfsFileSystem: void initializeRestCsrf(org.apache.hadoop.conf.Configuration)>
Control Dependency,dfs.client.read.shortcircuit,dfs.client.read.shortcircuit.buffer.size,org.apache.hadoop.hdfs.client.impl.BlockReaderFactory,*
Control Dependency,hadoop.security.group.mapping.ldap.ssl.truststore.password.file,hadoop.security.group.mapping.ldap.url,org.apache.hadoop.security.LdapGroupsMapping,<org.apache.hadoop.security.LdapGroupsMapping: void loadSslConf(org.apache.hadoop.conf.Configuration)>
Control Dependency,dfs.webhdfs.rest-csrf.custom-header,dfs.webhdfs.rest-csrf.enabled,org.apache.hadoop.hdfs.web.WebHdfsFileSystem,<org.apache.hadoop.hdfs.web.WebHdfsFileSystem: void initializeRestCsrf(org.apache.hadoop.conf.Configuration)>
Control Dependency,hadoop.security.sasl.variablewhitelist.enable,hadoop.security.sasl.variablewhitelist.file,org.apache.hadoop.security.WhitelistBasedResolver,<org.apache.hadoop.security.WhitelistBasedResolver: void setConf(org.apache.hadoop.conf.Configuration)>
Control Dependency,fs.adl.oauth2.access.token.provider.type,fs.adl.oauth2.devicecode.clientapp.id,org.apache.hadoop.fs.adl.AdlFileSystem,<org.apache.hadoop.fs.adl.AdlFileSystem: com.microsoft.azure.datalake.store.oauth2.AccessTokenProvider getDeviceCodeTokenProvider(org.apache.hadoop.conf.Configuration)>
Control Dependency,yarn.resourcemanager.store.class,yarn.resourcemanager.zk-state-store.parent-path,org.apache.hadoop.yarn.server.resourcemanager.ResourceManager,*
Control Dependency,hadoop.security.credential.provider.path,hadoop.security.kms.client.failover.max.retries,org.apache.hadoop.crypto.key.kms.LoadBalancingKMSClientProvider,"<org.apache.hadoop.crypto.key.kms.LoadBalancingKMSClientProvider: java.lang.Object doOp(org.apache.hadoop.crypto.key.kms.LoadBalancingKMSClientProvider$ProviderCallable,int)>"
Control Dependency,mapreduce.task.profile,mapreduce.task.profile.reduces,org.apache.hadoop.mapred.MapReduceChildJVM,"<org.apache.hadoop.mapred.MapReduceChildJVM: java.util.List getVMCommand(java.net.InetSocketAddress,org.apache.hadoop.mapred.Task,org.apache.hadoop.mapred.JVMId)>"
Control Dependency,io.compression.codec.bzip2.library,io.file.buffer.size,org.apache.hadoop.io.compress.BZip2Codec,"<org.apache.hadoop.io.compress.BZip2Codec: org.apache.hadoop.io.compress.CompressionOutputStream createOutputStream(java.io.OutputStream,org.apache.hadoop.io.compress.Compressor)>"
Control Dependency,hadoop.security.group.mapping.ldap.ssl.keystore.password,hadoop.security.group.mapping.ldap.url,org.apache.hadoop.security.LdapGroupsMapping,<org.apache.hadoop.security.LdapGroupsMapping: void loadSslConf(org.apache.hadoop.conf.Configuration)>
Control Dependency,hadoop.ssl.enabled,hadoop.ssl.enabled.protocols,org.apache.hadoop.http.HttpServer,*
Control Dependency,dfs.balancer.keytab.enabled,dfs.balancer.keytab.file,org.apache.hadoop.hdfs.server.balancer.Balancer,*
Control Dependency,rpc.metrics.percentiles.intervals,rpc.metrics.quantile.enable,org.apache.hadoop.ipc.metrics.RpcMetrics,*
Control Dependency,hadoop.security.dns.log-slow-lookups.enabled,hadoop.security.dns.log-slow-lookups.threshold.ms,"""org.apache.hadoop.security.SecurityUtil",*
Control Dependency,hadoop.registry.jaas.context,hadoop.registry.secure,org.apache.hadoop.registry.client.impl.zk.RegistrySecurity,<org.apache.hadoop.registry.client.impl.zk.RegistrySecurity: void initSecurity()>
Control Dependency,dfs.namenode.replication.considerLoad,dfs.namenode.replication.considerLoad.factor,org.apache.hadoop.hdfs.server.blockmanagement.BlockPlacementPolicyDefault,"<org.apache.hadoop.hdfs.server.blockmanagement.BlockPlacementPolicyDefault: boolean isGoodDatanode(org.apache.hadoop.hdfs.server.blockmanagement.DatanodeDescriptor,int,boolean,java.util.List,boolean)>"
Control Dependency,hadoop.http.logs.enabled,hadoop.jetty.logs.serve.aliases,org.apache.hadoop.http.HttpServer2,"<org.apache.hadoop.http.HttpServer2: void addDefaultApps(org.mortbay.jetty.handler.ContextHandlerCollection,java.lang.String,org.apache.hadoop.conf.Configuration)>"
Control Dependency,hadoop.security.authorization,hadoop.security.instrumentation.requires.admin,org.apache.hadoop.http.HttpServer,"<org.apache.hadoop.http.HttpServer: boolean hasAdministratorAccess(javax.servlet.ServletContext,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>"
Control Dependency,yarn.nodemanager.resource.memory-mb,yarn.nodemanager.resource.system-reserved-memory-mb,org.apache.hadoop.yarn.server.nodemanager.util.NodeManagerHardwareUtils,"<org.apache.hadoop.yarn.server.nodemanager.util.NodeManagerHardwareUtils: int getContainerMemoryMBInternal(org.apache.hadoop.yarn.util.ResourceCalculatorPlugin,org.apache.hadoop.conf.Configuration)>"
Control Dependency,dfs.client.read.shortcircuit,dfs.client.read.shortcircuit.skip.checksum,org.apache.hadoop.hdfs.client.impl.BlockReaderFactory,*
Control Dependency,ipc.client.ping,ipc.ping.interval,org.apache.hadoop.ipc.Client,<org.apache.hadoop.ipc.Client: int getPingInterval(org.apache.hadoop.conf.Configuration)>
Control Dependency,dfs.datanode.sync.behind.writes,dfs.datanode.sync.behind.writes.in.background,org.apache.hadoop.hdfs.server.datanode.BlockReceiver,*
Control Dependency,dfs.namenode.service.handler.count,dfs.namenode.servicerpc-address,org.apache.hadoop.hdfs.server.namenode.NameNodeRpcServer,*
Control Dependency,fs.adl.oauth2.access.token.provider.type,fs.adl.oauth2.msi.port,org.apache.hadoop.fs.adl.AdlFileSystem,<org.apache.hadoop.fs.adl.AdlFileSystem: com.microsoft.azure.datalake.store.oauth2.AccessTokenProvider getMsiBasedTokenProvider(org.apache.hadoop.conf.Configuration)>
Control Dependency,dfs.namenode.lifeline.handler.count,dfs.namenode.lifeline.handler.ratio,org.apache.hadoop.hdfs.server.namenode.NameNodeRpcServer,*
Control Dependency,fs.adl.oauth2.access.token.provider.type,fs.adl.oauth2.credential,org.apache.hadoop.fs.adl.AdlFileSystem,<org.apache.hadoop.fs.adl.AdlFileSystem: com.microsoft.azure.datalake.store.oauth2.AccessTokenProvider getConfCredentialBasedTokenProvider(org.apache.hadoop.conf.Configuration)>
Control Dependency,fs.adl.oauth2.access.token.provider.type,fs.adl.oauth2.refresh.token,org.apache.hadoop.fs.adl.AdlFileSystem,<org.apache.hadoop.fs.adl.AdlFileSystem: com.microsoft.azure.datalake.store.oauth2.AccessTokenProvider getConfRefreshTokenBasedTokenProvider(org.apache.hadoop.conf.Configuration)>
Control Dependency,dfs.client.read.shortcircuit,dfs.domain.socket.path,org.apache.hadoop.hdfs.server.datanode.DataNode,"<org.apache.hadoop.hdfs.server.datanode.DataNode: org.apache.hadoop.hdfs.net.DomainPeerServer getDomainPeerServer(org.apache.hadoop.conf.Configuration,int)>"
Control Dependency,hadoop.rpc.protection.non-whitelist,hadoop.security.saslproperties.resolver.class,,*
Control Dependency,yarn.client.failover-sleep-base-ms,yarn.resourcemanager.ha.enabled,org.apache.hadoop.yarn.client.RMProxy,"<org.apache.hadoop.yarn.client.RMProxy: org.apache.hadoop.io.retry.RetryPolicy createRetryPolicy(org.apache.hadoop.conf.Configuration,long,long,boolean)>"
Control Dependency,ipc.client.ping,ipc.client.rpc-timeout.ms,org.apache.hadoop.ipc.Client,<org.apache.hadoop.ipc.Client: int getTimeout(org.apache.hadoop.conf.Configuration)>
Control Dependency,fs.azure.local.sas.key.mode,fs.azure.secure.mode,org.apache.hadoop.fs.azure.NativeAzureFileSystem,"<org.apache.hadoop.fs.azure.NativeAzureFileSystem: void initialize(java.net.URI,org.apache.hadoop.conf.Configuration)>"
Control Dependency,yarn.resourcemanager.scheduler.monitor.enable,yarn.resourcemanager.scheduler.monitor.policies,org.apache.hadoop.yarn.server.resourcemanager.ResourceManager$RMActiveServices,<org.apache.hadoop.yarn.server.resourcemanager.ResourceManager$RMActiveServices: void createSchedulerMonitors()>
Control Dependency,yarn.nodemanager.resource.detect-hardware-capabilities,yarn.nodemanager.resource.system-reserved-memory-mb,org.apache.hadoop.yarn.server.nodemanager.util.NodeManagerHardwareUtils,"<org.apache.hadoop.yarn.server.nodemanager.util.NodeManagerHardwareUtils: int getContainerMemoryMBInternal(org.apache.hadoop.yarn.util.ResourceCalculatorPlugin,org.apache.hadoop.conf.Configuration)>"
Control Dependency,fs.s3a.fast.upload,fs.s3a.fast.upload.buffer,org.apache.hadoop.fs.s3a.S3AFileSystem,"<org.apache.hadoop.fs.s3a.S3AFileSystem: void initialize(java.net.URI,org.apache.hadoop.conf.Configuration)>"
Control Dependency,yarn.client.failover-sleep-max-ms,yarn.resourcemanager.ha.enabled,org.apache.hadoop.yarn.client.RMProxy,"<org.apache.hadoop.yarn.client.RMProxy: org.apache.hadoop.io.retry.RetryPolicy createRetryPolicy(org.apache.hadoop.conf.Configuration,long,long,boolean)>"
Control Dependency,yarn.nodemanager.linux-container-executor.cgroups.mount,yarn.nodemanager.linux-container-executor.cgroups.mount-path,org.apache.hadoop.yarn.server.nodemanager.util.CgroupsLCEResourcesHandler,"<org.apache.hadoop.yarn.server.nodemanager.util.CgroupsLCEResourcesHandler: void init(org.apache.hadoop.yarn.server.nodemanager.LinuxContainerExecutor,org.apache.hadoop.yarn.util.ResourceCalculatorPlugin)>"
Control Dependency,yarn.nodemanager.recovery.dir,yarn.nodemanager.recovery.enabled,org.apache.hadoop.yarn.server.nodemanager.NodeManager,<org.apache.hadoop.yarn.server.nodemanager.NodeManager: void initAndStartRecoveryStore(org.apache.hadoop.conf.Configuration)>
Control Dependency,yarn.acl.enable,yarn.acl.reservation-enable,org.apache.hadoop.yarn.server.resourcemanager.security.ReservationsACLsManager,*
Control Dependency,fs.s3n.multipart.uploads.block.size,fs.s3n.multipart.uploads.enabled,org.apache.hadoop.fs.s3native.Jets3tNativeFileSystemStore,"<org.apache.hadoop.fs.s3native.Jets3tNativeFileSystemStore: void storeFile(java.lang.String,java.io.File,byte[])>"
Control Dependency,hadoop.security.group.mapping.ldap.bind.password,hadoop.security.group.mapping.ldap.bind.password.file,org.apache.hadoop.security.LdapGroupsMapping,<org.apache.hadoop.security.LdapGroupsMapping: void setConf(org.apache.hadoop.conf.Configuration)>
Control Dependency,fs.s3a.multipart.purge,fs.s3a.multipart.purge.age,org.apache.hadoop.fs.s3a.S3AFileSystem,*
Control Dependency,zk-dt-secret-manager.kerberos.keytab,zk-dt-secret-manager.zkAuthType,org.apache.hadoop.security.token.delegation.ZKDelegationTokenSecretManager,<org.apache.hadoop.security.token.delegation.ZKDelegationTokenSecretManager: java.lang.String setJaasConfiguration(org.apache.hadoop.conf.Configuration)>
Control Dependency,yarn.timeline-service.recovery.enabled,yarn.timeline-service.state-store-class,org.apache.hadoop.yarn.server.timeline.security.TimelineV1DelegationTokenSecretManagerService,<org.apache.hadoop.yarn.server.timeline.security.TimelineV1DelegationTokenSecretManagerService: void serviceInit(org.apache.hadoop.conf.Configuration)>
Control Dependency,yarn.acl.enable,yarn.resourcemanager.webapp.rest-csrf.enabled,org.apache.hadoop.yarn.server.webapp.AppBlock,<org.apache.hadoop.yarn.server.webapp.AppBlock: java.lang.String getCSRFHeaderString(org.apache.hadoop.conf.Configuration)>
Control Dependency,yarn.nodemanager.runtime.linux.docker.default-container-network,yarn.nodemanager.runtime.linux.docker.userremapping-uid-threshold,org.apache.hadoop.yarn.server.nodemanager.containermanager.linux.runtime.DockerLinuxContainerRuntime,<org.apache.hadoop.yarn.server.nodemanager.containermanager.linux.runtime.DockerLinuxContainerRuntime: void initialize(org.apache.hadoop.conf.Configuration)>
Control Dependency,yarn.nodemanager.runtime.linux.docker.default-container-network,yarn.nodemanager.runtime.linux.docker.privileged-containers.acl,org.apache.hadoop.yarn.server.nodemanager.containermanager.linux.runtime.DockerLinuxContainerRuntime,<org.apache.hadoop.yarn.server.nodemanager.containermanager.linux.runtime.DockerLinuxContainerRuntime: void initialize(org.apache.hadoop.conf.Configuration)>
Control Dependency,yarn.resourcemanager.ha.automatic-failover.embedded,yarn.resourcemanager.ha.curator-leader-elector.enabled,org.apache.hadoop.yarn.server.resourcemanager.ResourceManager,<org.apache.hadoop.yarn.server.resourcemanager.ResourceManager: org.apache.hadoop.yarn.server.resourcemanager.EmbeddedElector createEmbeddedElector()>
Control Dependency,yarn.resourcemanager.ha.enabled,yarn.resourcemanager.ha.rm-ids,org.apache.hadoop.yarn.client.util.YarnClientUtils,<org.apache.hadoop.yarn.client.util.YarnClientUtils: org.apache.hadoop.yarn.conf.YarnConfiguration getYarnConfWithRmHaId(org.apache.hadoop.conf.Configuration)>
Control Dependency,yarn.resourcemanager.ha.rm-ids,yarn.resourcemanager.principal,org.apache.hadoop.yarn.util.RMHAUtils,<org.apache.hadoop.yarn.util.RMHAUtils: org.apache.hadoop.ha.HAServiceProtocol$HAServiceState getHAState(org.apache.hadoop.yarn.conf.YarnConfiguration)>
Control Dependency,yarn.timeline-service.address,yarn.timeline-service.generic-application-history.enabled,org.apache.hadoop.yarn.server.webproxy.AppReportFetcher,<org.apache.hadoop.yarn.server.webproxy.AppReportFetcher: org.apache.hadoop.yarn.api.ApplicationHistoryProtocol getAHSProxy(org.apache.hadoop.conf.Configuration)>
Control Dependency,yarn.timeline-service.generic-application-history.enabled,yarn.timeline-service.generic-application-history.store-class,org.apache.hadoop.yarn.server.resourcemanager.ahs.RMApplicationHistoryWriter,<org.apache.hadoop.yarn.server.resourcemanager.ahs.RMApplicationHistoryWriter: org.apache.hadoop.yarn.server.applicationhistoryservice.ApplicationHistoryStore createApplicationHistoryStore(org.apache.hadoop.conf.Configuration)>
Control Dependency,yarn.timeline-service.generic-application-history.enabled,yarn.timeline-service.version,org.apache.hadoop.yarn.client.api.impl.YarnClientImpl,<org.apache.hadoop.yarn.client.api.impl.YarnClientImpl: void serviceInit(org.apache.hadoop.conf.Configuration)>
Control Dependency,yarn.nodemanager.node-labels.provider,yarn.nodemanager.node-labels.provider.configured-node-partition,,*
Control Dependency,yarn.resourcemanager.ha.enabled,yarn.resourcemanager.webapp.https.address,org.apache.hadoop.yarn.webapp.util.WebAppUtils,"<org.apache.hadoop.yarn.webapp.util.WebAppUtils: java.lang.String getRMWebAppURLWithoutScheme(org.apache.hadoop.conf.Configuration,boolean)>"
Control Dependency,yarn.scheduler.configuration.store.class,yarn.scheduler.configuration.store.max-logs,,*
Control Dependency,yarn.federation.enabled,yarn.resourcemanager.epoch,org.apache.hadoop.yarn.server.resourcemanager.ResourceManager$RMActiveServices,<org.apache.hadoop.yarn.server.resourcemanager.ResourceManager$RMActiveServices: void serviceStart()>
Control Dependency,yarn.nodemanager.distributed-scheduling.enabled,yarn.resourcemanager.scheduler.client.thread-count,org.apache.hadoop.yarn.server.resourcemanager.OpportunisticContainerAllocatorAMService,"<org.apache.hadoop.yarn.server.resourcemanager.OpportunisticContainerAllocatorAMService: org.apache.hadoop.ipc.Server getServer(org.apache.hadoop.yarn.ipc.YarnRPC,org.apache.hadoop.conf.Configuration,java.net.InetSocketAddress,org.apache.hadoop.yarn.server.resourcemanager.security.AMRMTokenSecretManager)>"
Control Dependency,yarn.resourcemanager.address,yarn.resourcemanager.zk-state-store.root-node.acl,org.apache.hadoop.yarn.server.resourcemanager.recovery.ZKRMStateStore,"<org.apache.hadoop.yarn.server.resourcemanager.recovery.ZKRMStateStore: java.util.List constructZkRootNodeACL(org.apache.hadoop.conf.Configuration,java.util.List)>"
Control Dependency,yarn.nodemanager.runtime.linux.docker.capabilities,yarn.nodemanager.runtime.linux.docker.default-container-network,org.apache.hadoop.yarn.server.nodemanager.containermanager.linux.runtime.DockerLinuxContainerRuntime,<org.apache.hadoop.yarn.server.nodemanager.containermanager.linux.runtime.DockerLinuxContainerRuntime: java.util.Set getDockerCapabilitiesFromConf()>
Control Dependency,yarn.sharedcache.enabled,yarn.sharedcache.uploader.server.address,org.apache.hadoop.yarn.server.nodemanager.containermanager.localizer.sharedcache.SharedCacheUploadService,<org.apache.hadoop.yarn.server.nodemanager.containermanager.localizer.sharedcache.SharedCacheUploadService: org.apache.hadoop.yarn.server.api.SCMUploaderProtocol createSCMClient(org.apache.hadoop.conf.Configuration)>
Control Dependency,yarn.sharedcache.enabled,yarn.sharedcache.nm.uploader.thread-count,org.apache.hadoop.yarn.server.nodemanager.containermanager.localizer.sharedcache.SharedCacheUploadService,<org.apache.hadoop.yarn.server.nodemanager.containermanager.localizer.sharedcache.SharedCacheUploadService: void serviceInit(org.apache.hadoop.conf.Configuration)>
Control Dependency,yarn.resourcemanager.configuration.file-system-based-store,yarn.resourcemanager.configuration.provider-class,,*
Control Dependency,yarn.log-aggregation-enable,yarn.log.server.url,org.apache.hadoop.yarn.server.nodemanager.webapp.NMWebAppFilter,<org.apache.hadoop.yarn.server.nodemanager.webapp.NMWebAppFilter: java.lang.String containerLogPageRedirectPath(javax.servlet.http.HttpServletRequest)>
Control Dependency,yarn.nodemanager.node-labels.provider,yarn.nodemanager.node-labels.provider.fetch-interval-ms,,*
Control Dependency,yarn.nodemanager.health-checker.script.opts,yarn.nodemanager.health-checker.script.path,org.apache.hadoop.yarn.server.nodemanager.NodeManager,<org.apache.hadoop.yarn.server.nodemanager.NodeManager: org.apache.hadoop.util.NodeHealthScriptRunner getNodeHealthScriptRunner(org.apache.hadoop.conf.Configuration)>
Control Dependency,yarn.resourcemanager.history-writer.multi-threaded-dispatcher.pool-size,yarn.timeline-service.generic-application-history.enabled,org.apache.hadoop.yarn.server.resourcemanager.ahs.RMApplicationHistoryWriter,<org.apache.hadoop.yarn.server.resourcemanager.ahs.RMApplicationHistoryWriter: org.apache.hadoop.yarn.event.Dispatcher createDispatcher(org.apache.hadoop.conf.Configuration)>
Control Dependency,yarn.scheduler.configuration.leveldb-store.compaction-interval-secs,yarn.scheduler.configuration.store.class,,*
Control Dependency,yarn.nodemanager.recovery.enabled,yarn.nodemanager.recovery.supervised,org.apache.hadoop.yarn.server.nodemanager.NodeStatusUpdaterImpl,<org.apache.hadoop.yarn.server.nodemanager.NodeStatusUpdaterImpl: boolean isNMUnderSupervisionWithRecoveryEnabled()>
Control Dependency,yarn.resourcemanager.ha.automatic-failover.enabled,yarn.resourcemanager.ha.curator-leader-elector.enabled,org.apache.hadoop.yarn.conf.HAUtil,<org.apache.hadoop.yarn.conf.HAUtil: void verifyLeaderElection(org.apache.hadoop.conf.Configuration)>
Control Dependency,yarn.nodemanager.amrmproxy.enabled,yarn.nodemanager.distributed-scheduling.enabled,org.apache.hadoop.yarn.server.nodemanager.containermanager.ContainerManagerImpl,<org.apache.hadoop.yarn.server.nodemanager.containermanager.ContainerManagerImpl: void createAMRMProxyService(org.apache.hadoop.conf.Configuration)>
Control Dependency,yarn.resourcemanager.address,yarn.resourcemanager.ha.curator-leader-elector.enabled,org.apache.hadoop.yarn.server.resourcemanager.ResourceManager,<org.apache.hadoop.yarn.server.resourcemanager.ResourceManager: org.apache.hadoop.util.curator.ZKCuratorManager createAndStartZKManager(org.apache.hadoop.conf.Configuration)>
Control Dependency,mapreduce.shuffle.transfer.buffer.size,mapreduce.shuffle.transferto.allowed,*,*
Control Dependency,yarn.acl.enable,yarn.resourcemanager.webapp.rest-csrf.,org.apache.hadoop.yarn.server.webapp.AppBlock,<org.apache.hadoop.yarn.server.webapp.AppBlock: java.lang.String getCSRFHeaderString(org.apache.hadoop.conf.Configuration)>
