"Taxonomy","Relationship","Config A","Section A","Component A","Config B","Section B","Component B","Related Description","Is Corner Cases","Checking Time","Handling","Impact of violations","Feedback"
"Value Relationship (Numeric)","A >= B * C","live_migration_completion_timeout","libvirt","nova","live_migration_downtime_steps, live_migration_downtime_delay","libvirt","nova","Should usually be larger than downtime delay * downtime steps.","Corner Cases","no check","N/A","Downgraded service quality","None"
"Value Relationship (Numeric)","A == B.substring","serialproxy_host","serial_console","nova","base_url","serial_console","nova","ensure that this is the same ip address which is defined in the option ``base_url``","Corner Cases","no check","N/A","Usability","None"
"Value Relationship (Numeric)","A == B.substring","serialproxy_port","serial_console","nova","base_url","serial_console","nova","ensure that this is the same port number which is defined in the option ``base_url`` of this section.","Corner Cases","no check","N/A","Usability","None"
"Value Relationship (Numeric)","A >= B","service_down_time","default","nova","periodic_task_interval","scheduler","nova","if this is larger than the nova-service 'service_down_time' setting, the computefilter (if enabled) may think the compute service is down.","Corner Cases","no check","N/A","Downgraded service quality","None"
"Value Relationship (Numeric)","A > B","http_timeout","object-replicator","swift","node_timeout","object-replicator","swift","Max duration of an http request. This is for REPLICATE finalization calls and so should be longer than node_timeout.","Corner Cases","no check ","N/A","Usability","None"
"Value Relationship (Numeric)","A > B","http_timeout","object-reconstructor","swift","node_timeout","object-reconstructor","swift","Max duration of an http request. This is for REPLICATE finalization calls and so should be longer than node_timeout.","Corner Cases","no check ","N/A","Usability","None"
"Value Relationship (Numeric)","A >B + C","reclaim_age","account-replicator","swift","delay_reaping, container-updater.interval","account-reaper","swift","The sum of this value and the container-updater interval should be less than the account-replicator reclaim_age.","Corner Cases","no check ","N/A","Usability","None"
"Value Relationship (Numeric)","A <= B","concurrency_timeout","proxy-server","swift","conn_timeout","proxy-server","swift","This number should be between 0 and node_timeout.","Corner Cases","no check ","N/A","Usability","None"
"Value Relationship (Set)","A should be subset of B","default_backend","glance_store","glance","enabled_backends","default","glance","the default scheme to use for storing images. provide a string value representing the default scheme to use for storing images.","found","Runtime","Runtime Exception","Runtime Failure","Inadequate "
"Value Relationship (Set)","A should be subset of B","external_network_type","ml2","neutron","type_drivers","ml2","neutron","allowed values for external_network_type config option depend on the network type values configured in type_drivers config option.","found","Init Time","Init Time Exception","Startup Failure","Partial "
"Value Relationship (Set)","A should be subset of B","tenant_network_types","ml2","neutron","type_drivers","ml2","neutron"," list of network type driver entrypoints to be loaded from the neutron.ml2.type_drivers namespace. (list value) ","found","Init Time","Init Time Exception","Startup Failure","Partial "
"Value Relationship (Set)","A's substring should be subset of B","physical_interface_mappings","linux_bridge","neutron","network_vlan_ranges","ml2_type_vlan","neutron","all physical networks listed in network_vlan_ranges on the server should have mappings to appropriate interfaces on each agent. ","found","Init Time","Init Time Exception","Startup Failure","Inadequate "
"Value Relationship (Set)","A's substring should be subset of B","physical_interface_mappings","macvtap","neutron","network_vlan_ranges","ml2_type_vlan","neutron","all physical networks listed in network_vlan_ranges on the server should have mappings to appropriate interfaces on each agent. ","found","Init Time","Init Time Exception","Startup Failure","Inadequate "
"Value Relationship (Set)","A's substring should be subset of B","resource_provider_bandwidths","ovs","neutron","bridge_mappings","ovs","neutron","comma-separated list of <bridge>:<egress_bw>:<ingress_bw> tuples, showing the available bandwidth for the given bridge in the given direction.the bridge must appear in bridge_mappings as the value. but not all bridges in bridge_mappings must be listed here.","found","Init Time","Init Time Exception","Startup Failure","Partial "
"Value Relationship (Set)","A's substring should be subset of B","physical_device_mappings","sriov_nic","neutron","network_vlan_ranges","ml2_type_vlan","neutron","all physical networks listed in network_vlan_ranges on the server should have mappings to appropriate interfaces on each agent. ","found","Init Time","Init Time Exception","Startup Failure","Inadequate "
"Value Relationship (Set)","A's substring should be subset of B","exclude_devices","sriov_nic","neutron","physical_device_mappings","sriov_nic","neutron","the device must appear in physical_device_mappings as the value.","found","Init Time","Init Time Exception","Startup Failure","Partial "
"Value Relationship (Set)","A's substring should be subset of B","resource_provider_bandwidths","sriov_nic","neutron","physical_device_mappings","sriov_nic","neutron","comma-separated list of <bridge>:<egress_bw>:<ingress_bw> tuples, showing the available bandwidth for the given bridge in the given direction.the bridge must appear in bridge_mappings as the value. but not all bridges in bridge_mappings must be listed here.","found","Init Time","Init Time Exception","Startup Failure","Partial "
"Value Relationship (Set)","A should be subset of B","enabled_filters","filter_scheduler","nova","available_filters","filter_scheduler","nova","All of the filters in this option *must* be present in the 'available_filters' option, or a SchedulerHostFilterNotFound Exception will be raised.","found","Runtime","Runtime Exception","Runtime Failure","Partial"
"Value Relationship (Logical)","A will be used only if B is set,","gpfs_images_share_mode","backend_defaults","cinder","gpfs_images_dir","backend_defaults","cinder","The gpfs_images_share_mode flag is only valid if the Image Service is configured to use Spectrum Scale with thegpfs_images_dir flag.","found","Runtime","Runtime Exception","Runtime Failure","Partial"
"Value Relationship (Logical)","if B and C is false, A will be ignored(set to false)","quobyte_overlay_volumes","backend_defaults","cinder","quobyte_qcow2_volumes,quobyte_volume_from_snapshot_cache","backend_defaults","cinder","this feature requires the options quobyte_qcow2_volumes and quobyte_volume_from_snapshot_cache to be set to true","found","Init Time","Correction with logging","Usability ","Complete"
"Value Relationship (Logical)","either A or B should not be null","san_password","backend_defaults","cinder","san_private_key","backend_defaults","cinder","Ensure that either password or keyfile were set","found","Runtime","Runtime Exception","Runtime Failure","Complete"
"Value Relationship (Logical)","if A is true, B should be nulll","swift_store_multi_tenant","glance.store.swift.store","glance","swift_store_config_file","glance.store.swift.store","glance","please do not configure this option if you have set ``swift_store_multi_tenant`` to ``true``.","found","Init Time","Init Time Exception","Startup Failure","Complete"
"Value Relationship (Logical)","if A is not null, B should be null","filesystem_store_datadir","file","glance","filesystem_store_datadirs","file","glance","if both options are specified, a ``badstoreconfiguration`` will be raised and the filesystem store may not be available for adding new images.","found","Init Time","Init Time Exception","Startup Failure","Complete"
"Value Relationship (Logical)","if A is false, B should be larger than 0","shred_final_overwrite_with_zeros","deploy","ironic","shred_random_overwrite_iterations","deploy","ironic","whether to write zeros to a node's block devices after writing random data","found","Init Time","Init Time Exception","Startup Failure","Complete"
"Value Relationship (Logical)","if A is true, B should not be null","use_web_server_for_images","ilo","ironic","http_url","deploy","ironic"," this requires http_root and http_url to be configured in the [deploy] section of the config file.","found","Runtime","Runtime Exception","Runtime Failure","Inadequate "
"Value Relationship (Logical)","if A is true, B should not be null","use_web_server_for_images","ilo","ironic","http_root","deploy","ironic"," this requires http_root and http_url to be configured in the [deploy] section of the config file.","found","Runtime","Runtime Exception","Runtime Failure","Inadequate "
"Value Relationship (Logical)","if A is true, B or C should not be null","use_tls","ldap","keystone","tls_cacertfile,tls_cacertdir","ldap","keystone","enable tls when communicating with ldap servers. you should also set the `[ldap] tls_cacertfile` and `[ldap] tls_cacertdir` options when using this option.","found","Init Time","Init Time Exception","Startup Failure","Partial"
"Value Relationship (Logical)","if A is true, B will work","pbm_enabled","vmware","nova","pbm_default_policy","vmware","nova","if pbm_enabled is set and there is no defined storage policy for the specific request, then this policy will be used.","found","Init Time","Init Time Exception","Startup Failure","Complete"
"Value Relationship (Logical)","if A is flase, B should larger than 0","handle_virt_lifecycle_events","workarounds","nova","sync_power_state_interval","default","nova","if ``handle_virt_lifecycle_events`` in the ``workarounds`` group is false and this option is negative, then instances that get out of sync between the hypervisor and the nova database will have to be synchronized manually.","found","Init Time","Logging only","Usability ","Complete"
"Value Relationship (Logical)","if A is not null, B should be 'custom'","cpu_model","libvirt","nova","cpu_mode","libvirt","nova","``cpu_mode``: this should be set to ``custom`` only when you want to configure (via ``cpu_model``) a specific named cpu model.","found","Runtime","Runtime Exception","Runtime Failure","Complete"
"Value Relationship (Logical)","if A is not null, B should be 1.0","file_backed_memory","libvirt","nova","ram_allocation_ratio","default","nova","``virt_type`` must be set to ``kvm`` or ``qemu``. * ``ram_allocation_ratio`` must be set to 1.0","found","Runtime","Runtime Exception","Runtime Failure","Complete"
"Value Relationship (Logical)","if A is not null, B should be ""gemu"" or ""kvm""","file_backed_memory","libvirt","nova","virt_type","default","nova","``virt_type`` must be set to ``kvm`` or ``qemu``. * ``ram_allocation_ratio`` must be set to 1.0","found","Runtime","Runtime Exception","Runtime Failure","Complete"
"Value Relationship (Logical)","if A is 'localdisk', B should not be null","disk_driver","powervm","nova","volume_group_name","powervm","nova","if disk_driver is localdisk, then this attribute must be specified.","found","Runtime","Runtime Exception","Runtime Failure","Complete"
"Value Relationship (Logical)","if A is true, B should be None or ""ext3""","independent_compute","xenserver","nova","default_ephemeral_format","default","nova","``conf.default_ephemeral_format`` (must be unset or 'ext3')","found","Runtime","Runtime Exception","Runtime Failure","Complete"
"Value Relationship (Logical)","if A is true, B should be false","independent_compute","xenserver","nova","flat_injected","default","nova","``conf.flat_injected`` (must be false)","found","Runtime","Runtime Exception","Runtime Failure","Complete"
"Value Relationship (Logical)","if A is true, B should be null","independent_compute","xenserver","nova","check_host","xenserver","nova","conf.xenserver.check_host`` (must be false)","found","Runtime","Runtime Exception","Runtime Failure","Complete"
"Value Relationship (Logical)","if A is ""log"" or ""reap"", B should larger than 0","running_deleted_instance_action","default","nova","running_deleted_instance_poll_interval","default","nova","if ""running_deleted_instance _action"" is set to ""log"" or ""reap"", a value greater than 0 must be set.","found","no check","N/A","Usability","None"
"Value Relationship (Logical)","if A is not null, B should be null","glance_store.filesystem_store_datadir","default","nova","glance_store.filesystem_store_datadirs","default","nova","if A is not null, B should be null","found","Runtime","Runtime Exception","Runtime Failure","Complete"
"Value Relationship (Logical)","if A is 'usbtablet', B should be true or C should be true","pointer_model","default","nova","spice.enabled, vnc.enabled","spice","nova","usbtablet must be configured with vnc enabled or spice enabled and spice agent disabled.","found","Runtime","Logging only","Downgraded service quality","Complete"
"Value Relationship (Logical)","if A is not null, B should be 'affinity'","read_affinity","proxy-server","swift","sorting_method","proxy-server","swift","used in conjunction with the sorting_method option being set to ‘affinity’.","found","Init Time","Init Time Exception","Startup Failure","Partial "
"Default Value Dependency ","A's default value is B if B is not null, else is C","availability_zone","default","cinder","default_availability_zone,storage_availability_zone","default","cinder","if not set, the storage_availability_zone option value is used as the default for new volumes.","found","no check ","N/A","Usability","None"
"Default Value Dependency ","A's default value is B","ssh_hosts_key_file","default","cinder","state_path","default","cinder","default=$state_path/ssh_known_hosts","found","no check ","N/A","Usability","None"
"Default Value Dependency ","if A is null, B will be used","backend_availability_zone","default","cinder","storage_availability_zone","default","cinder","if not set, the storage_availability_zone option value is used as the default for all backends","found","no check ","N/A","Usability","None"
"Default Value Dependency ","A's default value is B","gpfs_hosts_key_file","backend_defaults","cinder","state_path","default","cinder","default=$state_path/ssh_known_hosts","found","no check ","N/A","Usability","None"
"Default Value Dependency ","A's default value is B","as13000_meta_pool","default","cinder","as13000_ipsan_pools","default","cinder","if not set, the driver will choose a replication pool from the value of as13000_ipsan_pools","found","no check ","N/A","Usability","None"
"Default Value Dependency ","A's default value is B","configdrive_swift_temp_url_duration","conductor","ironic","deploy_callback_timeout","conductor","ironic","defaults to deploy_callback_timeout if it is set","found","no check ","N/A","Usability","None"
"Default Value Dependency ","A's default value is B","auth_strategy","json_rpc","ironic","auth_strategy","default","ironic","defaults to the global auth_strategy setting.","found","no check ","N/A","Usability","None"
"Default Value Dependency ","A's default value is B","user_tree_dn","ldap","keystone","suffix","ldap","keystone","the default ldap server suffix to use, if a dn is not defined via either `[ldap] user_tree_dn` or `[ldap] group_tree_dn`","found","no check ","N/A","Usability","None"
"Default Value Dependency ","A's default value is B","group_tree_dn","ldap","keystone","suffix","ldap","keystone","the default ldap server suffix to use, if a dn is not defined via either `[ldap] user_tree_dn` or `[ldap] group_tree_dn`","found","no check ","N/A","Usability","None"
"Default Value Dependency ","A's default value is B","instances_path_share","hyperv","nova","instances_path","default","nova","instances_path: the directory which will be used if this option here is left blank.","found","no check ","N/A","Usability","None"
"Default Value Dependency ","A's default value is B","instances_path","default","nova","state_path","default","nova","possible values: * $state_path/instances where state_path is a config option that specifies the top-level directory for maintaining nova's state.","found","no check ","N/A","Usability","None"
"Default Value Dependency ","A's default value is B","my_block_storage_ip","default","nova","my_ip","default","nova","if my_block_storage_ip is not set, then my_ip value is used","found","no check ","N/A","Usability","None"
"Default Value Dependency ","A's default value is B","metadata_host","default","nova","my_ip","default","nova","$my_ip","found","no check ","N/A","Usability","None"
"Default Value Dependency ","A's default value is B","state_path","default","placement","pybasedir","default","placement","defaults to value provided in ``pybasedir``","found","no check ","N/A","Usability","None"
"Default Value Dependency ","A's default vaule is math(B)","objects_per_second","object-updater","swift","slowdown","object-updater","swift","Time in seconds to wait between objects. Deprecated in favor of objects_per_second.","found","no check ","N/A","Usability","None"
"Default Value Dependency ","A's default vaule is math(B)","containers_per_second","container-updater","swift","slowdown","container-updater","swift","Time in seconds to wait between containers. Deprecated in favor of containers_per_second.","found","no check ","N/A","Usability","None"
"Default Value Dependency ","A's default value is B","rsync_tempfile_timeout","object-auditor","swift","rsync_timeout","object-auditor","swift","Config value of “auto” try to use object-replicator’s rsync_timeout + 900","found","no check ","N/A","Usability","None"
"Default Value Dependency ","A's default value is B","concurrency_timeout","proxy-server","swift","conn_timeout","proxy-server","swift","This number should be between 0 and node_timeout.","found","no check ","N/A","Usability","None"
"Behavioral Dependency","use-together","default_deploy_playbook","ansible","ironic","playbooks_path","ansible","ironic","path (relative to $playbooks_path or absolute) to the default playbook used for deployment.","found","no check ","N/A","Usability ","None"
"Behavioral Dependency","use-together","default_shutdown_playbook","ansible","ironic","playbooks_path","ansible","ironic","path (relative to $playbooks_path or absolute) to the default playbook used for deployment.","found","no check ","N/A","Usability ","None"
"Behavioral Dependency","use-together","default_clean_playbook","ansible","ironic","playbooks_path","ansible","ironic","path (relative to $playbooks_path or absolute) to the default playbook used for deployment.","found","no check ","N/A","Usability ","None"
"Behavioral Dependency","use-together","default_clean_steps_config","ansible","ironic","playbooks_path","ansible","ironic","path (relative to $playbooks_path or absolute) to the default playbook used for deployment.","found","no check ","N/A","Usability ","None"
"Behavioral Dependency","use-together","remote_image_share_name","irmc","ironic","remote_image_server, remote_image_user_name, remote_image_user_password, remote_image_user_domain","irmc","ironic","share name of remote_image_server ","found","no check ","N/A","Usability ","None"
"Behavioral Dependency","use-together","prepend_host","metrics","ironic","global_prefix","metrics","ironic","prepend the hostname to all metric names. the format of metric names is [global_prefix.][host_name.]prefix.metric_name.","found","no check ","N/A","Usability ","None"
"Behavioral Dependency","use-together","bind_host","default","neutron","bind_port","default","neutron","the host ip to bind to","found","no check ","N/A","Usability ","None"
"Behavioral Dependency","A and B work together","admin_project_domain_name","resource","keystone","admin_project_name","resource","keystone","`[resource] admin_project_name` must also be set to use this option","found","no check ","N/A","Usability ","None"
"Behavioral Dependency","A and B work together","vencrypt_client_key","vnc","nova","vencrypt_client_cert","vnc","nova","``vnc.vencrypt_client_cert``: must also be set","found","no check","N/A","Usability","None"
